cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
3010121,30,10,20,40,ot1,no,younger,male,with,0,3010121,87,1,0,1,2,1,,1,1
3010300,30,10,20,40,ot1,no,older,any,any,0,3010300,84,1,0,3,0,0,,1,0
3010301,30,10,20,40,ot1,no,older,any,with,0,3010301,85,1,0,3,0,1,,1,0
3010310,30,10,20,40,ot1,no,older,female,any,0,3010310,86,1,0,3,1,0,,1,1
3010320,30,10,20,40,ot1,no,older,male,any,0,3010320,86,1,0,3,2,0,,1,1
3010311,30,10,20,40,ot1,no,older,female,with,0,3010311,87,1,0,3,1,1,,1,1
3010321,30,10,20,40,ot1,no,older,male,with,0,3010321,87,1,0,3,2,1,,1,1
3020000,30,10,20,40,ot2,no,any,any,any,0,3020000,#NUM!,2,0,0,0,0,,0,0
3020001,30,10,20,40,ot2,no,any,any,with,0,3020001,#NUM!,2,0,0,0,1,,0,0
3020010,30,10,20,40,ot2,no,any,female,any,0,3020010,#NUM!,2,0,0,1,0,,0,1
3020020,30,10,20,40,ot2,no,any,male,any,0,3020020,#NUM!,2,0,0,2,0,,0,1
3020011,30,10,20,40,ot2,no,any,female,with,0,3020011,#NUM!,2,0,0,1,1,,0,1
3020021,30,10,20,40,ot2,no,any,male,with,0,3020021,#NUM!,2,0,0,2,1,,0,1
3020100,30,10,20,40,ot2,no,younger,any,any,0,3020100,#NUM!,2,0,1,0,0,,1,0
3020101,30,10,20,40,ot2,no,younger,any,with,0,3020101,#NUM!,2,0,1,0,1,,1,0
3020110,30,10,20,40,ot2,no,younger,female,any,0,3020110,#NUM!,2,0,1,1,0,,1,1
3020120,30,10,20,40,ot2,no,younger,male,any,0,3020120,#NUM!,2,0,1,2,0,,1,1
3020111,30,10,20,40,ot2,no,younger,female,with,0,3020111,#NUM!,2,0,1,1,1,,1,1
3020121,30,10,20,40,ot2,no,younger,male,with,0,3020121,#NUM!,2,0,1,2,1,,1,1
3020300,30,10,20,40,ot2,no,older,any,any,0,3020300,#NUM!,2,0,3,0,0,,1,0
3020301,30,10,20,40,ot2,no,older,any,with,0,3020301,#NUM!,2,0,3,0,1,,1,0
3020310,30,10,20,40,ot2,no,older,female,any,0,3020310,#NUM!,2,0,3,1,0,,1,1
3020320,30,10,20,40,ot2,no,older,male,any,0,3020320,#NUM!,2,0,3,2,0,,1,1
3020311,30,10,20,40,ot2,no,older,female,with,0,3020311,#NUM!,2,0,3,1,1,,1,1
